,,mean,mean,std,std
,,acc,loss,acc,loss
hepatitis,isotonic,0.844284946237,0.853457323871,0.0480865095904,1.07291388841
hepatitis,sigmoid,0.854428763441,0.383571275988,0.0468498775591,0.0868308567478
horse,None,0.84610030564,0.457757398823,0.0422286961747,0.125579693289
horse,beta,0.842088635732,0.405539767665,0.0404874023615,0.0655082168884
horse,beta_ab,0.84610030564,0.403496853974,0.0422286961747,0.0661072737009
horse,beta_am,0.844433083264,0.404060034791,0.040212197035,0.0651613827413
horse,isotonic,0.842066592572,0.660224570599,0.0399417718073,0.411428689479
horse,sigmoid,0.84547244605,0.400526601699,0.0437024590327,0.0602081629791
ionosphere,None,0.922519114688,0.240917448644,0.0272711176504,0.0966254543042
ionosphere,beta,0.919975855131,0.216465053127,0.0305773690814,0.0714537598648
ionosphere,beta_ab,0.922519114688,0.217748111503,0.0272711176504,0.0653749961212
ionosphere,beta_am,0.919114688129,0.218005886273,0.0326110823277,0.0745944430281
ionosphere,isotonic,0.918832997988,0.372551532568,0.0285365618343,0.456650695958
ionosphere,sigmoid,0.919975855131,0.231701183375,0.031361707953,0.0684852522464
iris,None,1.0,0.026021439443,0.0,0.00732150292914
iris,beta,0.999333333333,0.00144950890155,0.00471404520791,0.00396590065144
iris,beta_ab,1.0,0.000403926142033,0.0,0.00107773290947
iris,beta_am,1.0,0.00094280849513,0.0,0.00257480847356
iris,isotonic,1.0,0.00402223289495,0.0,0.005656607556
iris,sigmoid,1.0,0.000183366887347,0.0,0.000623636589094
landsat-satellite,None,0.991810669559,0.02343348431,0.00246730890566,0.0062205260731
landsat-satellite,beta,0.991795250178,0.0233591375115,0.00244122388512,0.00554899542363
landsat-satellite,beta_ab,0.991810669559,0.0233376602135,0.00246730890566,0.00555576403749
landsat-satellite,beta_am,0.991779625705,0.0233334096579,0.00247100787011,0.00550412740109
landsat-satellite,isotonic,0.991624309218,0.0316942569269,0.00245675321255,0.0166633836507
landsat-satellite,sigmoid,0.991810585102,0.0313811261566,0.0026220370706,0.00807922435476
letter,None,0.999145813751,0.0030760036679,0.00043692226658,0.00083253791354
letter,beta,0.999114388811,0.00275514150011,0.000442203183099,0.000930609348225
letter,beta_ab,0.999145813751,0.00272696045459,0.00043692226658,0.000914598471613
letter,beta_am,0.99911155493,0.00278444442843,0.000461731740499,0.000939170909677
letter,isotonic,0.999097256957,0.00399626221563,0.00045091704208,0.00244850811976
letter,sigmoid,0.999131528824,0.00366815450228,0.000431495075415,0.00145969044715
libras-movement,None,0.984733333333,0.0773543370718,0.0134533712236,0.0674748284355
libras-movement,beta,0.984133333333,0.0884864555575,0.0146858254582,0.108672060773
libras-movement,beta_ab,0.984733333333,0.0763918754388,0.0134533712236,0.0661794157849
libras-movement,beta_am,0.9844,0.0943129200997,0.0143560174873,0.118987746962
libras-movement,isotonic,0.983933333333,0.218356622234,0.0138618057938,0.319922287349
libras-movement,sigmoid,0.9836,0.0765870050514,0.0153099496349,0.0592390128626
lung-cancer,None,0.691684210526,2.50533834908,0.117804649484,1.38965585848
