,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
mfeat-karhunen,0.0590175138357,0.00397553509815,0.00397658582311,0.00406308112167,0.00396778368755,0.00137243207065,0.00268053567294,0.00265425446567,0.00272070201024,0.00267484562138
mfeat-morphological,0.0648647814606,0.0017459764762,0.001743570556,0.0016541762822,0.00173535747155,0.0012547628402,0.00182333781134,0.00182441938633,0.00182538680766,0.00182197056789
mfeat-zernike,0.0446346476989,0.00495673417325,0.00490551571206,0.00513420238238,0.00492070245298,0.00196104579221,0.00269579604495,0.00267408401094,0.00260027005478,0.00270794115058
mushroom,0.0612406771101,5.18349160236e-06,5.13240876212e-06,4.44959611512e-06,4.56185272965e-06,0.000326171897663,3.0138991551e-05,2.75398585912e-05,1.51961973513e-05,2.72289890948e-05
optdigits,0.0359807638038,0.00389735179411,0.00388638695238,0.00402655618172,0.00390068191114,0.00106971102231,0.00149887637091,0.00147232829089,0.00153090982714,0.00150307360884
page-blocks,0.0627032435844,0.0275383676472,0.0283087153457,0.0261477969441,0.0287634984129,0.00194641905928,0.00341416632466,0.0033885761683,0.00316502323305,0.00343718897566
pendigits,0.0183404786737,0.00147233301086,0.00145960495482,0.00150410114384,0.00146527847602,0.000657879165782,0.000541945993594,0.000528533847208,0.000572716507107,0.000539674692604
scene-classification,0.12972189951,0.10728854123,0.107424380976,0.107791970962,0.107706411975,0.00421055820461,0.0071350991062,0.00732241950711,0.00730937682582,0.00751878361779
segment,0.0352699923435,0.00280540019043,0.00279440031757,0.0026812213242,0.00277973079904,0.00155470675811,0.00178080528139,0.00178773024126,0.00175605369618,0.00180105350971
shuttle,0.0179326730276,0.00085762251864,0.000855932825089,0.000771200302311,0.000853487924309,0.000218340151771,0.000153715402962,0.000152750596341,0.000151678811055,0.000155170589158
sonar,0.161488823349,0.111572020014,0.112640214941,0.112549401462,0.112719610078,0.0107000723616,0.0268246212884,0.0266955187771,0.0297380256972,0.0268247647476
spambase,0.0819621121783,0.0547152620597,0.0550957732282,0.0547288189989,0.0549087006454,0.00360375095966,0.00584137845007,0.0058953385478,0.00597231410285,0.00604816509669
tic-tac,0.139633034886,0.0879324197368,0.0879704661871,0.0884634080858,0.0879728175726,0.00493693250231,0.0107301922966,0.0108271639539,0.0110623101943,0.0109535211354
vehicle,0.0718991083831,0.0209774554837,0.0209628616533,0.0216647479005,0.0209086143591,0.00490891200439,0.0076701078736,0.00763367603797,0.00802457632228,0.00775888998657
vowel,0.0476903150783,0.0162754029481,0.016344588927,0.0163857186781,0.0162982467788,0.0032103843346,0.00602819235836,0.00600213066931,0.00619765361057,0.0060931385466
waveform-5000,0.0910823315087,0.0722372394539,0.0721967622567,0.0724620279167,0.0722147367853,0.00346125304021,0.0045971222372,0.00462561738582,0.00445760832492,0.00474949399896
wdbc,0.0632064790975,0.0215802486929,0.0217955504678,0.022233709053,0.0217031110262,0.00574275380311,0.00914732186189,0.00895266426753,0.00961429691804,0.00907693059837
wpbc,0.172205617229,0.162944903375,0.162960164378,0.162391379036,0.162876092597,0.0069112602066,0.0165883869043,0.0159469874405,0.0224589935852,0.0162098664731
yeast,0.176182224167,0.171702155941,0.172696774788,0.172408321665,0.173534158103,0.00701126713111,0.00906037089986,0.00936513563666,0.00943366434086,0.00945620610989
zoo,0.0813813967129,0.00219153915008,0.00220833141512,0.00255949274207,0.00218352262426,0.00686422148361,0.00433878700123,0.00436830464532,0.00413940231921,0.00432208956829
