,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
segment,0.00323468253968,0.00242742075928,0.00250466775817,0.00240103359544,0.00146395382114,0.00164543440761,0.0016722576336,0.00175682938477
shuttle,4.08981068378e-05,3.4625541492e-05,1.64037270837e-05,1.57526700177e-05,3.07430333971e-05,3.09490997352e-05,3.77046388479e-05,3.76789172052e-05
sonar,0.142170937315,0.121493527081,0.123879685599,0.121877930531,0.0151484132163,0.0283341492591,0.0277207391341,0.0291390797896
spambase,0.0423589126021,0.0393100872943,0.0376036365171,0.0373720750487,0.00355527182783,0.00396143922641,0.00453989904958,0.00467434263353
tic-tac,0.0757996323291,0.0332594241863,0.0335102840057,0.0332405364217,0.00608186752236,0.00848693403166,0.00860908523291,0.00860491602081
vehicle,0.019981890407,0.0121303985899,0.0124050899599,0.0119204760137,0.00356676138509,0.00483484580189,0.00548508444073,0.0051272601476
vowel,0.0194462109989,0.00997908549147,0.0101369574122,0.00979999867002,0.00396208883768,0.00473905120701,0.00533843106405,0.0050506430004
waveform-5000,0.0885073266267,0.0754625813985,0.0759293004013,0.0754302145628,0.00340308307171,0.00503973291826,0.00491363470543,0.00530837248395
wdbc,0.0332920097302,0.032496789217,0.0307480414213,0.0308624927859,0.0101052838177,0.011387113462,0.0128991594152,0.0137417735319
wpbc,0.17304858442,0.175800384633,0.169574755846,0.174009786839,0.0165548943241,0.0117349157243,0.0218901385793,0.0126761241892
yeast,0.160025881461,0.160785990593,0.161564473982,0.16105514027,0.00824131282295,0.00764384029615,0.00824182508286,0.00853586725836
zoo,0.00580440929765,0.00438137976245,0.0042931736181,0.00270119035541,0.00570016267724,0.00643535130073,0.00592418864972,0.00440891213188
