,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.223844670484,0.221595168763,0.222709433696,0.214442078363,0.22306790386,0.00318420516016,0.00318053515852,0.00302352767761,0.00483544238767,0.00293053003485
autos,0.146737737364,0.114311575802,0.11441023274,0.115464115573,0.114849886954,0.0143138405985,0.029066225704,0.0288788794867,0.0299294050708,0.029059934268
balance-scale,0.0591178344717,0.0243011561923,0.024324362357,0.0247106271441,0.0242731126809,0.00543070375513,0.00886880259899,0.00882128084084,0.00921174541323,0.00891652745553
car,0.0765109769784,0.0324301540714,0.0322111991896,0.0328429576255,0.0322185218753,0.00405515469801,0.00714705514144,0.00703977444463,0.00636548033551,0.00713998853691
cleveland,0.142058297098,0.125810203116,0.125603747519,0.127969203998,0.12559637213,0.0194115685556,0.0308096927884,0.0305532623155,0.0321613809252,0.0310364501792
credit-approval,0.12611305707,0.105125997489,0.104718013607,0.105614227281,0.105099421055,0.0126524943225,0.0214947797518,0.0214688142294,0.0216808048271,0.0215965804933
dermatology,0.0625408190527,0.00160046276906,0.00160284625199,0.00121325605973,0.00155947837424,0.00347457580089,0.00341896822467,0.00341825437888,0.0022053888584,0.00336577037
diabetes,0.166186332117,0.161342288068,0.161976823496,0.161681192505,0.162947107379,0.0093467271108,0.013327885332,0.0133625845672,0.0133804496092,0.0136810948464
ecoli,0.0594529104588,0.0262817099573,0.0267815431941,0.0268448374098,0.0264592550099,0.0113655484468,0.0183959639747,0.0179000540158,0.0193083343692,0.0182060054713
flare,0.152768579537,0.142896785413,0.143281748503,0.148572672584,0.143214973053,0.00527820495309,0.00770490749882,0.00784500535444,0.00920704873634,0.00783919747179
german,0.168712842991,0.163289545048,0.163078418301,0.16468568041,0.16341884328,0.00645196374466,0.00946302535119,0.00940244019653,0.0098294869569,0.00946322070299
glass,0.175301274034,0.168869023959,0.169059863393,0.173256590521,0.16914361884,0.0205765318679,0.0340092124552,0.0325485965341,0.0396672398855,0.0331271533745
heart-statlog,0.14024918253,0.122597251675,0.122603307968,0.124841448779,0.122400648968,0.0172286600719,0.0283171372751,0.0276775077914,0.0297312283572,0.0281816642922
hepatitis,0.140582986665,0.120824060343,0.120319058269,0.127251511715,0.120345905815,0.0157868672502,0.0348054272543,0.0343689864045,0.038700304905,0.0345262891337
horse,0.138675322048,0.110957180352,0.110489150987,0.114591647786,0.110480455975,0.0115924087566,0.0218136740379,0.0216618484809,0.0234337402414,0.0219993081742
ionosphere,0.0886314396907,0.0409402175265,0.0407003306407,0.0422091112784,0.0406814960155,0.0090118071352,0.0186282725159,0.0183639219058,0.0185008398151,0.0185758775451
iris,0.0626661067794,0.00148967738812,0.00148631627256,0.00172881717771,0.00149570409129,0.00317179836177,0.00337019232366,0.00335635305996,0.00333667806939,0.00341375324425
landsat-satellite,0.028830456204,0.00897805615268,0.00893119629066,0.00879116614095,0.00905548651815,0.00138260516267,0.00214168416757,0.00212505374746,0.00203350356512,0.00219850445245
letter,0.0137523702324,0.00188960559661,0.00188265456853,0.00192324947213,0.0018793422169,0.000383226477066,0.000396178298903,0.000395931696328,0.000418334016309,0.000405081316092
libras-movement,0.0678710809322,0.0126434492032,0.0126362831318,0.0129230270535,0.0126183308893,0.00490087733592,0.0107327546,0.0107729881531,0.0103701964044,0.0108057696201
lung-cancer,0.0869804112993,0.000580511251139,0.000635872591547,0.00204950925067,0.000482425649215,0.00474956905408,0.00139610457042,0.00168611337682,0.00344893022328,0.00117415371474
