,mean,mean,mean,std,std,std
,acc,acc,acc,acc,acc,acc
method,beta,beta_ab,beta_am,beta,beta_ab,beta_am
dataset,,,,,,
abalone,64.1225978563,63.5932724736,64.0985110051,0.97244741527,0.672621533361,0.908553299312
autos,83.8826785406,80.4649154884,83.497959904,5.96969467543,5.64201652307,6.20287066891
balance-scale,96.6211769261,96.5891811222,96.5734267481,1.59476935277,1.64558190908,1.65640116683
car,94.9944885065,94.9654523457,95.0117623336,1.39045388635,1.33016449275,1.4117940242
cleveland,82.8602376778,82.9958503799,82.7907071888,4.9410596356,4.93450502254,4.88322300368
credit-approval,86.2323226392,86.2015534084,86.1707877364,3.10164948019,2.94172282764,3.10358795032
dermatology,99.7507078507,99.8895967396,99.7507078507,0.537565611852,0.378306797708,0.537565611852
diabetes,75.7290552585,75.9110432052,75.754944402,3.02940606387,2.72980822272,2.82333889006
ecoli,96.804981869,97.2169015776,96.6502704762,2.60354093949,2.3063822156,2.54515510919
flare,82.1374755884,82.2818610141,82.0516762323,1.25992798691,1.14400989118,1.29370982864
german,76.29,76.32,76.28,2.097350126,1.98144453593,2.03078350216
glass,76.3142488003,75.986976073,76.4066730427,6.15498324133,5.9605927576,6.46486786184
heart-statlog,83.4444444444,83.5185185185,83.7037037037,4.69395970877,4.83845004184,4.74718477379
hepatitis,83.5307795699,82.963844086,83.7827956989,5.4845832175,4.01655161194,5.44054692568
horse,85.8090673335,85.0356765768,85.8074465129,3.51459552997,3.30228268686,3.49032071535
ionosphere,95.1034205231,94.0193158954,95.0181086519,2.72259668036,2.50464899455,2.59948736224
iris,99.8,99.7333333333,99.8,0.799659791607,0.913491718726,0.799659791607
landsat-satellite,98.7786261344,98.7910739105,98.8252826339,0.313742344522,0.317293526475,0.318182347601
letter,99.7614294187,99.6657195226,99.762856073,0.0549197771308,0.0573952149151,0.0555137469951
libras-movement,98.4933333333,97.5533333333,98.5466666667,1.44159146121,1.66545534212,1.47197554944
lung-cancer,100.0,96.9789473684,100.0,0.0,4.71688120323,0.0
mfeat-karhunen,99.57,99.475,99.57,0.353697668661,0.35083719115,0.353697668661
mfeat-morphological,99.815,99.85,99.815,0.187695476335,0.195615199109,0.187695476335
mfeat-zernike,99.415,99.48,99.42,0.333541601603,0.341963120102,0.332890862792
mushroom,100.0,100.0,100.0,0.0,0.0,0.0
optdigits,99.5782569785,99.4804021061,99.5764823556,0.210315416341,0.219146445418,0.208579318682
page-blocks,96.5265701758,96.4187806709,96.4973664112,0.400474876692,0.408652706213,0.424610414353
pendigits,99.8216885804,99.8271460303,99.8225980878,0.0705004177095,0.0806504611273,0.0707471458411
scene-classification,85.2423880991,84.9849108804,85.2009289732,1.33800173086,1.275516321,1.28220791163
segment,99.7272727273,99.6796536797,99.7229437229,0.208851512564,0.232384591565,0.21440860635
shuttle,99.911231633,99.9032511384,99.9117242633,0.0202124964917,0.0217083332326,0.019775193901
sonar,84.6153742268,83.5117899684,84.5167058315,5.13882786599,5.25154991972,5.23405832557
spambase,93.2950086189,93.2885553976,93.3385530938,0.804895212685,0.801904457213,0.835208294061
tic-tac,90.1365608243,88.8626132007,90.1474126608,2.18163474173,2.10723526719,2.16007129069
vehicle,97.7080518043,97.6377429552,97.7551155715,1.11242853271,1.16225157467,1.13979382635
vowel,98.2525252525,97.9292929293,98.2525252525,0.817623005097,0.990586595797,0.836505335268
waveform-5000,89.7559336899,89.777973738,89.7439236799,0.823707269131,0.826739041235,0.831012864182
wdbc,97.2900346287,97.5188918815,97.1673720662,1.2452747698,1.38733902024,1.37007187614
wpbc,78.926585695,77.4967611336,79.136977058,4.23175790134,3.99468417302,4.25536265997
yeast,73.9545070149,73.9609233924,74.0143164274,2.08542182046,1.88282406911,1.873427896
zoo,99.7994987469,99.4028252449,99.7994987469,0.993514996456,1.63684763991,0.993514996456
