,mean,mean,mean,mean,mean,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta_ab,isotonic,sigmoid,None,beta,beta_ab,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.615258102613,0.614152151706,0.614274889614,8.9813431383,0.616174059573,0.0109714159607,0.00976268297567,0.0102949157808,3.13196832563,0.0088868322794
autos,0.491699930457,0.296195930401,0.298562027128,1.91494684454,0.258223694372,0.46477303347,0.0745088296711,0.0708929568915,1.5063070173,0.0716743406606
balance-scale,0.0433564055367,0.0310054576318,0.0321055391417,0.36965445891,0.030037668963,0.011465613365,0.0177477871242,0.0189166732536,0.35732219658,0.0190732951233
car,0.114943615439,0.110072371231,0.110099630911,1.35646143296,0.121505384985,0.0137425266345,0.0174834117859,0.017316394973,0.350248560302,0.0215789198982
cleveland,0.534759610783,0.437598599114,0.436648554066,3.48070783255,0.439607066974,0.160907256974,0.0477149268669,0.0470766982545,1.36556643521,0.0592163158704
credit-approval,0.360831240741,0.350039137196,0.348837148871,3.27566354243,0.344306115151,0.0793944314576,0.0407464090946,0.0401252786153,0.853719900548,0.0469114199946
dermatology,0.114944629211,0.03699620356,0.0464198061749,0.0947118921455,0.0364561101359,0.202745642711,0.0611302862021,0.0886620275345,0.183841979706,0.0573460509134
diabetes,0.519979651981,0.49138077495,0.490682762889,4.37959527305,0.501873199439,0.0542393153057,0.0286518309514,0.0279548429855,1.0752952878,0.0308909079064
ecoli,0.345588129634,0.166990121286,0.164119916114,0.972279702977,0.16874730439,0.399076782625,0.0568346009941,0.0510218836464,0.559111364967,0.0766627644733
flare,0.404982443955,0.405199678808,0.405293479502,6.44454306194,0.408996380938,0.023169731247,0.0228336414775,0.0221172875791,0.543549795796,0.0244273933103
german,0.515513098989,0.508573033085,0.509204136777,6.48588526492,0.507494545238,0.0392318822794,0.0227983178893,0.0241786116752,0.88921935687,0.0223258004895
glass,0.779571904999,0.509567288718,0.510718746789,5.08354031013,0.490105397633,0.31106819696,0.0505753538093,0.0488366191965,1.9670574071,0.0663755546144
heart-statlog,0.623159963055,0.447099784601,0.446085590614,4.35280022265,0.456231950086,0.233756540422,0.0566941535463,0.0551601536071,1.57374793558,0.0678632350499
hepatitis,0.971964145867,0.421435636958,0.441864084214,2.32537552562,0.425828175221,0.584514980994,0.0449207689988,0.0466410491165,1.49772362492,0.066518476338
horse,0.687831230627,0.445165980224,0.455459667563,4.99844525498,0.430632623767,0.261977363479,0.0481798937615,0.0462301899572,1.59973473382,0.0596309141387
ionosphere,0.45361937748,0.226838009805,0.22472683829,1.43157227768,0.249115529907,0.239118186662,0.0451921235155,0.0439542658871,0.937692191383,0.073678009675
iris,0.126928011043,1.36348715491e-05,1.38858564553e-05,1.11022302463e-16,1.36348841059e-05,0.0,0.0,0.0,0.0,0.0
landsat-satellite,0.0485289774221,0.0447744138474,0.0448386958894,0.379208547041,0.0645488837857,0.0100282923414,0.00652229304232,0.00659805356962,0.123031088907,0.0114349385913
letter,0.0372375761948,0.0359750382239,0.0360363490527,0.388012117413,0.0453467653916,0.00199747817214,0.00227834710423,0.00223600955428,0.0526128885394,0.00341109444551
libras-movement,0.616825253371,0.0968922418214,0.0963617994039,0.637718892691,0.103782500542,0.512072693168,0.0519807131186,0.0516058746169,0.569514169406,0.0532484178895
lung-cancer,0.237980642622,0.290939336631,0.2899144293,1.44648130336,0.290197250334,0.116748542483,0.357779581806,0.361149425455,1.74734079306,0.351276252679
mfeat-karhunen,0.059621000746,0.0259330173822,0.0251718331491,0.161795545974,0.0323672984827,0.0562811174707,0.0116297115965,0.0116985185504,0.130057820494,0.0178967638899
mfeat-morphological,0.065233559721,0.0480401777905,0.0181136029809,0.0800186115569,0.0175826523387,0.0678850710016,0.0729496532636,0.0152505539934,0.071251793504,0.018411915577
