,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_ab,beta_am,isotonic,sigmoid,None,beta,beta_ab,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,,,
mfeat-zernike,0.00821688325988,0.00789130706115,0.00771376564682,0.00782583973949,0.0103014311977,0.00822737947078,0.00429916219071,0.00328783665497,0.00334397132422,0.00322391679186,0.00406951693869,0.00404754057271
mushroom,2.24403361603e-05,1.18547338088e-05,1.81260144894e-05,1.62434597458e-05,3.82283588703e-05,7.21377017216e-06,6.35250319034e-05,4.11071729017e-05,5.91656095503e-05,5.32549593451e-05,0.000166096144733,5.08531251089e-05
optdigits,0.00916646295163,0.00911272906121,0.00909360339663,0.00918622676377,0.0119128317834,0.00994704604072,0.00200212436557,0.00180949691622,0.00178194870344,0.00165650053365,0.00345201774833,0.00243076354124
page-blocks,0.0286038507536,0.0279261048128,0.0279790069466,0.0278811479737,0.0394816991388,0.0307316525482,0.00388746805441,0.00338934435041,0.00329232427616,0.00341066113982,0.00512462776031,0.00421534265528
pendigits,0.0049810848853,0.00496054419995,0.00500041006231,0.00499804293924,0.00657276259645,0.00543756922403,0.000867521305747,0.00081801419361,0.000815172866998,0.000788880951963,0.0011107817296,0.00108605428125
scene-classification,0.12312740685,0.120370043217,0.121666895482,0.120633272569,0.174623195028,0.121960077638,0.0088922391195,0.00578158190955,0.00599657155326,0.00559829981916,0.00906396378704,0.00737621624319
segment,0.0025744725282,0.00236990753159,0.00228693616406,0.00234795185723,0.00277021938265,0.00255352348669,0.00199556677637,0.00170448835515,0.00171045425814,0.00164007112005,0.00194132167928,0.00205123004031
shuttle,3.85198655377e-05,4.15084207251e-05,4.17102393977e-05,4.31732088749e-05,7.48260635167e-05,4.00374296473e-05,5.10158614969e-05,4.74379364822e-05,4.79614463879e-05,4.78849307094e-05,6.13635028196e-05,5.96162103559e-05
sonar,0.151475067911,0.126768202375,0.12645261455,0.127394832264,0.195369385792,0.135193557022,0.0542412620296,0.0274939479398,0.0267820650784,0.0258402565267,0.0446364976704,0.0350867062711
spambase,0.0467406727128,0.0470003349045,0.0470531860152,0.0470127174794,0.0635525861025,0.0475953816781,0.00431534875881,0.00406604341334,0.00411227118986,0.00408811630995,0.00709727359879,0.00505366603243
tic-tac,0.118062648818,0.109447107463,0.112823705533,0.109328043854,0.163731965819,0.110346577535,0.0100227605188,0.0142546551679,0.0132277222876,0.0142330012786,0.0254122579229,0.0148318753223
vehicle,0.0176194467504,0.0178890448369,0.0174342846772,0.0178583800301,0.0254995030785,0.0189228323575,0.00740937923972,0.00605691387141,0.00596811845921,0.00586421424381,0.00964579962266,0.0075877807082
vowel,0.0213687326773,0.0208145027187,0.0211795449595,0.0209970151919,0.0273510960982,0.0217200114023,0.00738105275244,0.00624683954567,0.00593907951452,0.00602001705583,0.00838164187649,0.00714316336591
waveform-5000,0.0836911591536,0.0824251434015,0.0825692312717,0.0825213776086,0.120165622656,0.0863246082587,0.00626146104562,0.00542776029345,0.00549184305594,0.00545282447344,0.00798235563633,0.00637553825018
wdbc,0.0267035861094,0.0241522467794,0.0237182541967,0.0245759021624,0.0320028954639,0.0269165907522,0.0151783664299,0.0120429178209,0.0111775115307,0.0111785143636,0.0163016552757,0.0146718338128
wpbc,0.210607940804,0.165484567175,0.17622289487,0.165623690924,0.22413007933,0.166354920636,0.0402704487015,0.0127910734269,0.0158377339768,0.0104460628129,0.0192208000425,0.0152460623556
yeast,0.17503995256,0.175421513025,0.175374520116,0.175667082098,0.277567636449,0.175979327498,0.00828139596525,0.00792976516166,0.00787472524338,0.0072346669167,0.0152133755252,0.00913594907729
zoo,0.0142093366186,0.000276693455581,0.000276695449857,0.000276694873803,0.000846662476267,0.000276676334203,1.99796968362e-18,0.000512255961707,0.000512255518304,0.000512254683966,0.00170102395553,0.000512218156598
