,mean,mean,mean,mean,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta_am,isotonic,sigmoid,None,beta_am,isotonic,sigmoid
dataset,,,,,,,,
segment,0.0025744725282,0.00234795185723,0.00277021938265,0.00255352348669,0.00199556677637,0.00164007112005,0.00194132167928,0.00205123004031
shuttle,3.85198655377e-05,4.31732088749e-05,7.48260635167e-05,4.00374296473e-05,5.10158614969e-05,4.78849307094e-05,6.13635028196e-05,5.96162103559e-05
sonar,0.151475067911,0.127394832264,0.195369385792,0.135193557022,0.0542412620296,0.0258402565267,0.0446364976704,0.0350867062711
spambase,0.0467406727128,0.0470127174794,0.0635525861025,0.0475953816781,0.00431534875881,0.00408811630995,0.00709727359879,0.00505366603243
tic-tac,0.118062648818,0.109328043854,0.163731965819,0.110346577535,0.0100227605188,0.0142330012786,0.0254122579229,0.0148318753223
vehicle,0.0176194467504,0.0178583800301,0.0254995030785,0.0189228323575,0.00740937923972,0.00586421424381,0.00964579962266,0.0075877807082
vowel,0.0213687326773,0.0209970151919,0.0273510960982,0.0217200114023,0.00738105275244,0.00602001705583,0.00838164187649,0.00714316336591
waveform-5000,0.0836911591536,0.0825213776086,0.120165622656,0.0863246082587,0.00626146104562,0.00545282447344,0.00798235563633,0.00637553825018
wdbc,0.0267035861094,0.0245759021624,0.0320028954639,0.0269165907522,0.0151783664299,0.0111785143636,0.0163016552757,0.0146718338128
wpbc,0.210607940804,0.165623690924,0.22413007933,0.166354920636,0.0402704487015,0.0104460628129,0.0192208000425,0.0152460623556
yeast,0.17503995256,0.175667082098,0.277567636449,0.175979327498,0.00828139596525,0.0072346669167,0.0152133755252,0.00913594907729
zoo,0.0142093366186,0.000276694873803,0.000846662476267,0.000276676334203,1.99796968362e-18,0.000512254683966,0.00170102395553,0.000512218156598
