,,mean,mean,std,std
,,acc,loss,acc,loss
credit-approval,sigmoid,0.880242637769,0.311817985782,0.0260760843967,0.0558399732053
dermatology,None,0.998880523381,0.029461613064,0.0038359687393,0.00781398748531
dermatology,beta,0.997753539254,0.00570420095879,0.00520069851573,0.00697217889906
dermatology,beta_ab,0.998880523381,0.00335341199833,0.0038359687393,0.00579473810368
dermatology,beta_am,0.997753539254,0.00568343613788,0.00520069851573,0.0068969377087
dermatology,isotonic,0.998039253539,0.00641995692124,0.00569550589085,0.00646188699897
dermatology,sigmoid,0.997753539254,0.00469731314032,0.00520069851573,0.00671207763881
diabetes,None,0.765607333843,0.48445646702,0.0271920396876,0.031450754713
diabetes,beta,0.76262116968,0.4861522356,0.0292843539824,0.0333742056862
diabetes,beta_ab,0.765607333843,0.485514121342,0.0271920396876,0.0323049496689
diabetes,beta_am,0.763919022154,0.485086697982,0.0300398123038,0.0324321414421
diabetes,isotonic,0.761965028436,0.575906585191,0.0281334700498,0.133701211003
diabetes,sigmoid,0.764830659537,0.489898838248,0.0293960034882,0.0328065037511
ecoli,None,0.964100271895,0.173262925636,0.0238117272689,0.170323099492
ecoli,beta,0.963195171372,0.144554097278,0.0224409929235,0.127421303879
ecoli,beta_ab,0.964100271895,0.152488204273,0.0238117272689,0.151185559302
ecoli,beta_am,0.963208879057,0.181013794536,0.0232380428272,0.192928021998
ecoli,isotonic,0.962009388698,0.358237023869,0.0232154791127,0.477755326483
ecoli,sigmoid,0.96349873413,0.139956275071,0.02421528107,0.0869768544989
flare,None,0.814174002566,0.548282965465,0.0135413384216,0.12782917352
flare,beta,0.818501752327,0.420999595123,0.0109617526874,0.020836504549
flare,beta_ab,0.814174002566,0.42204575946,0.0135413384216,0.0216038393262
flare,beta_am,0.81799753978,0.44239540599,0.0102549427781,0.0241555024394
flare,isotonic,0.819722794174,0.42922462607,0.0110480818034,0.0291363935959
flare,sigmoid,0.81065122895,0.426729854684,0.0148176785362,0.0229745754547
german,None,0.764,0.490057818634,0.0231234486518,0.0226892896772
german,beta,0.7646,0.488219333514,0.0244080950105,0.0276864056484
german,beta_ab,0.764,0.488243950727,0.0231234486518,0.0267277122009
german,beta_am,0.7654,0.488376317177,0.0243453050412,0.0281068224392
german,isotonic,0.7634,0.566944123692,0.0243369208053,0.150062387837
german,sigmoid,0.7652,0.488341610645,0.0236893155973,0.0268902290495
