,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_ab,beta_am,isotonic,sigmoid,None,beta,beta_ab,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,,,
mfeat-morphological,0.00202674986111,0.00180347272034,0.00161149250059,0.00240306324139,0.00182312687608,0.00191136948557,0.00190614452499,0.00195131649155,0.00193845462695,0.00182894750644,0.00196056582085,0.0019799347207
mfeat-zernike,0.0110948011111,0.0078020113996,0.00918172051273,0.00791039760364,0.00790150669735,0.00783217515776,0.0027663109546,0.00308426575241,0.00359388022986,0.00284711628675,0.00316214336741,0.0031944312971
mushroom,3.64536697444e-05,1.23170747791e-05,1.57452417002e-05,1.32974969811e-05,2.42097858206e-06,9.77027311783e-08,4.04912861491e-05,1.93000913806e-05,2.83793337928e-05,2.11989210835e-05,7.87481819266e-06,6.62865627652e-07
optdigits,0.0128167031248,0.00612249154909,0.0102224846108,0.00612212331448,0.00622647763076,0.00617223063641,0.00152862871789,0.00171087201784,0.00205406304903,0.00169439441017,0.00169792429205,0.00184192169986
page-blocks,0.0185407568555,0.018967965683,0.0191859472435,0.0197685968297,0.0183130692362,0.0188611595349,0.00258416534506,0.00242609314365,0.00238496771679,0.00228345533081,0.00288870415027,0.00308622169729
pendigits,0.00529493634764,0.00345476487765,0.00342965537698,0.00350320332535,0.00351517168258,0.00340854447503,0.000633471031343,0.000801381220139,0.000793839091894,0.000775539044017,0.000828843380755,0.000815391980074
scene-classification,0.116349811218,0.105413421596,0.111895895287,0.105994819399,0.106084674068,0.105167422601,0.00427566956475,0.0067963905054,0.00535022515619,0.00648390887037,0.00707606417112,0.00700666825419
segment,0.00322503571429,0.00233887163809,0.00239768543026,0.00237552602064,0.00241782010041,0.0023457532468,0.00146540222137,0.00156228490734,0.00163916296239,0.00159010794499,0.00167008859177,0.00168559919936
shuttle,4.11359576742e-05,3.09439816146e-05,3.1432457421e-05,3.44360260607e-05,1.71294637236e-05,1.65333603527e-05,2.88145572731e-05,2.80725137444e-05,2.95349854718e-05,2.90612415853e-05,3.81639894542e-05,3.73867751131e-05
sonar,0.142268094417,0.12173585565,0.124045749374,0.121667459689,0.121578622919,0.121995894605,0.0146020705768,0.0291704169657,0.0272811027409,0.0284953610887,0.0308471406607,0.0292023380456
spambase,0.042107259161,0.0375415971311,0.0373972067206,0.0381082088939,0.0371197506583,0.0370109335461,0.00352679736952,0.00449404559567,0.00437879710671,0.00416623600558,0.00461354522027,0.00475262141172
tic-tac,0.0755857876198,0.0308584014475,0.0501959307054,0.0309374835036,0.031479904264,0.0308845099592,0.00591184733554,0.00806267135262,0.00991170283818,0.00806046543777,0.00794408028116,0.0081345980229
vehicle,0.0198531419547,0.0115024460743,0.0113619996324,0.0115924639329,0.0118082363205,0.0113486773638,0.00326898425152,0.00431882492122,0.00462401804222,0.0042689367977,0.00460959551392,0.00444555676354
vowel,0.0193917382155,0.00938645765702,0.0170532591023,0.00941320508988,0.00917886081279,0.00920149973648,0.00403391469422,0.00472998686293,0.00577963071202,0.00471943878084,0.00477898263733,0.00494225544775
waveform-5000,0.0882620320512,0.0748634253768,0.0755816845845,0.0749299691724,0.0754261269359,0.0749610190552,0.0034307950024,0.0050933095607,0.00502573443432,0.00506390186909,0.00511643027375,0.00533716032739
wdbc,0.0332216577658,0.0308937416259,0.0306877116782,0.031862308598,0.0317172923263,0.0310111230091,0.0099157809564,0.0128123446468,0.0124120766003,0.011528267382,0.0136814277716,0.013734980352
wpbc,0.172515874709,0.172768775569,0.171516861847,0.17487516862,0.171936707507,0.173220651175,0.0157786939794,0.012918980875,0.0156594843093,0.0110989525876,0.0178973473729,0.0119900586665
yeast,0.159543412061,0.16025342494,0.160276353502,0.159919134347,0.160881572024,0.160394161391,0.00775437993718,0.00756143357861,0.00753443084142,0.00746164970486,0.00797909345927,0.00834732928689
zoo,0.00585372399285,0.00488543713659,0.00198059254364,0.00491806744145,0.00439898056853,0.00253703013768,0.00564207741414,0.00693171618104,0.00412089525213,0.00743724520549,0.0060104556534,0.00449159344048
