,mean,mean,mean,mean,mean,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.630110008902,0.616431763443,0.618114006164,0.619107009347,0.617741830203,0.0256503495467,0.016100540675,0.0140494224985,0.0278029374856,0.00728280577268
autos,0.241007166143,0.200176641505,0.200660330633,0.398355945967,0.199474936335,0.0504868491434,0.0943714842605,0.0895863567119,0.563775331851,0.0862894695888
balance-scale,0.199794767841,0.19216343249,0.191654734753,0.232407521351,0.208245716929,0.0212536760337,0.0278828738852,0.0272219689495,0.143410540147,0.0314689134353
car,0.0855783605513,0.0270468429667,0.0269089812841,0.0583860141834,0.026896001209,0.00663281255058,0.0143070752871,0.0140286331714,0.0757959004505,0.0141180661788
cleveland,0.400132320621,0.403105351203,0.398619367701,0.640822007642,0.401208937973,0.0589610989522,0.0872568148265,0.0779027220529,0.527745102461,0.0772655140959
credit-approval,0.353916771616,0.344324816744,0.348731768426,0.470483291341,0.311817985782,0.0919745402238,0.0979225254774,0.0954583869776,0.246971192143,0.0558399732053
dermatology,0.029461613064,0.00570420095879,0.00568343613788,0.00641995692124,0.00469731314032,0.00781398748531,0.00697217889906,0.0068969377087,0.00646188699897,0.00671207763881
diabetes,0.48445646702,0.4861522356,0.485086697982,0.575906585191,0.489898838248,0.031450754713,0.0333742056862,0.0324321414421,0.133701211003,0.0328065037511
ecoli,0.173262925636,0.144554097278,0.181013794536,0.358237023869,0.139956275071,0.170323099492,0.127421303879,0.192928021998,0.477755326483,0.0869768544989
flare,0.548282965465,0.420999595123,0.44239540599,0.42922462607,0.426729854684,0.12782917352,0.020836504549,0.0241555024394,0.0291363935959,0.0229745754547
german,0.490057818634,0.488219333514,0.488376317177,0.566944123692,0.488341610645,0.0226892896772,0.0276864056484,0.0281068224392,0.150062387837,0.0268902290495
glass,0.377543339345,0.375252491056,0.373226041766,0.582338051372,0.380248673006,0.0582798594251,0.0803938921121,0.0779575451207,0.457315020846,0.082555460347
heart-statlog,0.402962148154,0.407909493365,0.403549043339,0.755406000112,0.403362775493,0.0596247653697,0.0885887934779,0.0814558558329,0.600794179518,0.0782686501806
hepatitis,0.353800474356,0.369864308015,0.364936558838,0.663780075852,0.377264450787,0.0780092823742,0.0907051816369,0.087923626892,0.648971894507,0.0949850885829
horse,0.366370823759,0.354941408622,0.363445767505,0.608390524221,0.340808153807,0.103779438831,0.083469091824,0.114088862152,0.438647531453,0.0639222050565
ionosphere,0.199322785166,0.178206520181,0.18449185414,0.344665385251,0.176546059244,0.0879104010208,0.0871317096895,0.100526135632,0.320833114135,0.0541500092562
iris,0.00201916357488,0.00283915274544,0.000144656238059,0.000660318389212,1.29271974328e-05,0.00186630236394,0.00457516310025,0.000251200007181,0.000831248135629,1.14485433681e-06
landsat-satellite,0.0418872129098,0.0280944851582,0.0287711477461,0.038888340674,0.0302714639448,0.00535207453672,0.00680242159126,0.00718831169516,0.0197665223152,0.00673789125559
letter,0.00685322149647,0.00188897804478,0.00187003338855,0.00455659239685,0.00221894788488,0.000677430091084,0.00109303650028,0.00108010347733,0.00558308275334,0.00138725907667
