,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_ab,beta_am,sigmoid,None,beta,beta_ab,beta_am,sigmoid
dataset,,,,,,,,,,
hepatitis,81.4228494624,80.8602150538,81.2936827957,81.1182795699,81.0537634409,6.26132967011,3.59874367664,6.3240545575,3.45257637649,3.42634429391
horse,81.7062332129,80.2994905992,81.7062332129,80.166703714,80.2000370473,4.56129821452,3.29660653003,4.56129821452,3.43608154966,3.49156234903
ionosphere,92.8519114688,92.538028169,92.8519114688,92.538028169,92.5094567404,2.60275206495,2.80309399463,2.60275206495,2.72821786718,2.73228508521
iris,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,98.6091873166,98.6060696443,98.5020213253,98.6045192567,98.6045192567,0.37082866462,0.379769617878,0.528084602436,0.379287601348,0.380578753047
letter,99.1837264761,99.1862961895,99.1837264761,99.1848680654,99.1851531297,0.0980914664607,0.0959982650506,0.0980914664607,0.0951836142133,0.0963050077745
libras-movement,97.5533333333,97.28,97.5533333333,97.4333333333,97.3333333333,1.60866418295,1.94873061771,1.60866418295,1.6388840847,1.85408784133
lung-cancer,94.8789473684,94.0473684211,94.0473684211,94.0473684211,93.8368421053,5.51548988207,5.35892728492,5.35892728492,5.35892728492,5.3269734844
mfeat-karhunen,99.22,99.115,99.22,99.12,99.13,0.433424898751,0.468959986979,0.433424898751,0.469041575982,0.463570878274
mfeat-morphological,99.72,99.56,99.72,99.745,98.945,0.212132034356,1.39748316043,0.212132034356,0.234139762901,5.6607514645
mfeat-zernike,99.07,99.065,99.07,99.065,99.05,0.434600449862,0.462386224285,0.434600449862,0.4568358344,0.457366016959
mushroom,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
optdigits,98.8417446909,98.8488559401,98.8399573808,98.8470971481,98.8470971481,0.294007418881,0.268667240992,0.296507516579,0.271878747047,0.271878747047
page-blocks,96.7807260145,96.5468286169,96.7386900625,96.5395243382,96.5322233924,0.491263403361,0.478033612191,0.504885265768,0.479292814409,0.478625664811
pendigits,99.666125143,99.6588490964,99.6224084574,99.6542999158,99.6552102481,0.097096268887,0.101600542744,0.208070603695,0.105972819774,0.106404842956
scene-classification,81.4080897048,80.727021887,80.6026698499,80.5899283779,80.5816296228,1.65865717511,0.92643986317,2.67230324594,0.978690221204,0.982136992678
segment,99.7532467532,99.7445887446,99.7532467532,99.7575757576,99.7532467532,0.190662832523,0.225917185623,0.190662832523,0.212617358536,0.214274782178
shuttle,99.9977340726,99.9975370477,99.9977340726,99.9977341018,99.997635565,0.00509495173741,0.00509883199009,0.00509495173741,0.00509493622293,0.00509786110368
sonar,81.5683764147,81.5173810874,81.5683764147,81.4220889717,81.4220889717,6.20074836213,6.52566279626,6.20074836213,6.66166095238,6.66166095238
spambase,94.0620203946,94.1033507837,94.0207089092,94.0990124043,94.0990124043,0.678182394325,0.680542761344,0.713246456558,0.685229648563,0.685229648563
tic-tac,91.7136932697,94.8137461682,91.7136932697,94.8242173724,94.8242173724,2.20378625456,1.64978531579,2.20378625456,1.6545113208,1.64773509766
vehicle,97.5051029764,97.4346515552,97.5051029764,97.4348604107,97.4348604107,1.0889763434,1.05019200659,1.0889763434,1.07660418408,1.07660418408
vowel,97.8080808081,97.9191919192,97.8080808081,97.898989899,97.9090909091,0.857402752345,0.845357490094,0.857402752345,0.818577466302,0.822700669212
waveform-5000,88.366044562,88.3540565741,88.018004214,88.3580565741,88.3560545721,0.834836306342,0.7948260046,1.70551108484,0.792463063319,0.795344559969
wdbc,96.8695652174,96.5894574836,96.8695652174,96.641323586,96.6410157753,1.82705782745,1.88316529161,1.82705782745,1.84279167297,1.8767479713
wpbc,75.2010121457,76.4980431849,75.0457489879,76.4493927126,76.5020242915,4.57944096455,2.35294017301,4.29419335683,2.34570216403,2.31166839044
yeast,72.8073216982,69.1647786604,72.78718747,69.1645738915,69.1645738915,2.41424315565,0.611167222027,2.39830092099,0.618183457346,0.618183457346
zoo,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
