,,mean,mean,std,std
,,acc,loss,acc,loss
credit-approval,sigmoid,0.828055605972,0.466794249751,0.0253023763265,0.054759143579
dermatology,None,0.993824538825,0.0523311820189,0.0110975541798,0.113520642257
dermatology,beta,0.978962462462,0.106180410641,0.0483885584877,0.0773103485331
dermatology,beta_ab,0.993824538825,0.0712269638895,0.0110975541798,0.0625700997575
dermatology,beta_am,0.966080652081,0.135114903967,0.0648250235616,0.0936444198625
dermatology,isotonic,0.989608108108,0.10521192268,0.0185201042396,0.154273177238
dermatology,sigmoid,0.994102316602,0.0611061521212,0.0110743416065,0.0935333008391
diabetes,None,0.739708004414,0.686459579097,0.0292996122715,0.0014581424939
diabetes,beta,0.708604532722,0.577899355113,0.0278376631721,0.0296012206294
diabetes,beta_ab,0.739708004414,0.568707021386,0.0295044844242,0.0331329161317
diabetes,beta_am,0.706653085477,0.578245665595,0.0290958210862,0.0294221090573
diabetes,isotonic,0.743225532637,0.596003304581,0.0279029468708,0.16589397903
diabetes,sigmoid,0.706652236652,0.578172961793,0.0286846719331,0.0292959630806
ecoli,None,0.951712164501,0.523909979573,0.026828688817,0.0488064627134
ecoli,beta,0.950798944042,0.200014313734,0.0275608517059,0.0588926284145
ecoli,beta_ab,0.951712164501,0.190493950855,0.026828688817,0.0542978076861
ecoli,beta_am,0.949301490598,0.20119755094,0.0279957051195,0.0560849454644
ecoli,isotonic,0.946612799754,0.222160040467,0.0282901511639,0.131401904375
ecoli,sigmoid,0.949310403254,0.19711260474,0.0278004962053,0.0541165343842
flare,None,0.821731670198,0.654319286482,0.0133329627129,0.0124591663444
flare,beta,0.823032901303,0.42366416993,0.0116795916073,0.0251968404421
flare,beta_ab,0.82165920643,0.450620729016,0.0132985166816,0.0758034271468
flare,beta_am,0.823032901303,0.424138123971,0.0116795916073,0.0251333362973
flare,isotonic,0.822158743895,0.441607504697,0.0119715756285,0.0878383360629
flare,sigmoid,0.823032901303,0.423499433866,0.0116795916073,0.0248435038716
german,None,0.7348,0.689056021717,0.0244523693606,0.000689999234827
german,beta,0.7042,0.573091596197,0.0087691481447,0.0164266070584
german,beta_ab,0.7349,0.570652551583,0.0244007778397,0.0241793344541
german,beta_am,0.7038,0.573420492537,0.00854519795928,0.0162813122257
german,isotonic,0.74,0.545183439878,0.0226102739876,0.0418390971515
