,mean,mean,mean,mean,mean,std,std,std,std,std
,loss,loss,loss,loss,loss,loss,loss,loss,loss,loss
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
libras-movement,0.0721016956778,0.0766296276693,0.0802067636156,0.156432508353,0.0756968232596,0.0412560841094,0.0535658223281,0.052933693779,0.240219605576,0.0463307636393
lung-cancer,1.01704246705,0.0518863476886,0.0513791624847,0.0685163231641,0.136060747266,0.517827101857,0.0373390989726,0.0383754969197,0.0559284776626,0.0430208662093
mfeat-karhunen,0.0201728119973,0.0179868606481,0.0186038305159,0.0364228799017,0.0174295760893,0.0101591079215,0.0153723858827,0.0158593108089,0.0634152314102,0.0138995086292
mfeat-morphological,0.0134946995391,0.0144670597815,0.0175723880052,0.0324123863123,0.0128858661928,0.014017888546,0.0273747582647,0.030191541965,0.0581016580629,0.0169204909513
mfeat-zernike,0.0220478602603,0.0238193364884,0.0231010882304,0.0569951777438,0.0251600307387,0.0144594767106,0.0150939442937,0.0153211764591,0.0648000290829,0.013653771643
mushroom,0.00260297762341,0.000114151120897,0.000113323546789,8.69843502367e-05,3.50784970851e-05,0.000433854334258,8.09627937529e-05,8.35815167642e-05,9.22192453673e-05,4.73197769415e-05
optdigits,0.0178034642325,0.0185440780147,0.0183257188061,0.0246322660338,0.0201666874368,0.00799696017701,0.00935393688301,0.00937366496197,0.0224731304329,0.00728143932901
page-blocks,0.0873694556598,0.0840781829702,0.0874369787581,0.0920121307636,0.0962159931632,0.0139912360948,0.0127362963918,0.0136110320093,0.0230664595191,0.0146977436115
pendigits,0.00766476951403,0.0073299962304,0.00714424733888,0.0131383308351,0.00799892597262,0.00223907428779,0.00306018611833,0.00281916860368,0.0111156457469,0.00342918535474
scene-classification,0.451257424656,0.344560218542,0.344492509381,0.36206071291,0.370350128832,0.0522550230616,0.016801428318,0.0166958727673,0.0442562679784,0.0160959234075
segment,0.0138345545274,0.0130460578486,0.0144515438208,0.0289640370869,0.0155784638787,0.00638215888081,0.012390648306,0.0144437652209,0.0398785520709,0.0144849377164
shuttle,0.00668389418479,0.00474548523226,0.00550034867115,0.0036920609708,0.00428095087613,0.00219295135657,0.00218129959634,0.00235188677351,0.00160409500316,0.00123632033692
