,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_ab,beta_am,isotonic,sigmoid,None,beta,beta_ab,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,,,
mfeat-zernike,0.0049566780583,0.00520955443609,0.00498415970222,0.00515508887902,0.00529071000423,0.00516725673888,0.00234414196265,0.0024412354719,0.00244697724285,0.00238228907374,0.00239121881477,0.00257843856852
mushroom,0.000179739490697,7.90040748526e-06,9.86057243243e-06,8.09735625105e-06,9.66813283805e-06,2.35170105148e-06,7.01739852034e-05,1.2283963606e-05,1.55136660868e-05,1.39205532164e-05,1.73668397277e-05,8.90673650777e-06
optdigits,0.00424129681578,0.00417703249164,0.00427265316155,0.00419363360271,0.00423273811353,0.0045039140504,0.00143670502426,0.0014294309179,0.00147740548527,0.00139978353761,0.00153392046735,0.00178306603463
page-blocks,0.0233154151049,0.0232544542287,0.0235867132061,0.0233368082724,0.0232894776473,0.0244399268302,0.00343246918318,0.00344121232201,0.00330438820445,0.00342603392544,0.00365011005399,0.00397452649105
pendigits,0.00168016307182,0.00162490758177,0.00159564191825,0.00161865886838,0.00168768410906,0.00168891158378,0.000584669445014,0.000642848724471,0.000641960029215,0.000630978810768,0.000680217648704,0.000725186401125
scene-classification,0.114741098854,0.108055033546,0.108652444904,0.10812343673,0.107889376538,0.11205223126,0.00948001849634,0.00588748753522,0.0061194951452,0.00585129020501,0.00626523061528,0.006423801936
segment,0.00247500472965,0.00244509930939,0.00242779608155,0.00245012721453,0.00244979334485,0.0024931284311,0.00155721183771,0.00180997023581,0.00186755941867,0.00184163168868,0.00172274252599,0.00198599355964
shuttle,0.00106445605759,0.000784545111063,0.000793586812661,0.000887504367715,0.000700877955778,0.000730445318546,0.000241069449996,0.000217863341832,0.000223658994968,0.000217733465128,0.000194685989755,0.000202290312283
sonar,0.111113052493,0.111137741202,0.1113731479,0.111611406714,0.112939911387,0.112462641911,0.0319129716007,0.0272798492308,0.026763194758,0.0262896743765,0.0296938206986,0.0291216091909
spambase,0.041605787191,0.0429638143418,0.0430423229623,0.0430640428336,0.0419745725368,0.0423245703809,0.00483865020867,0.00401746472412,0.00399215735195,0.0039792733111,0.0043725805657,0.00494972220308
tic-tac,0.120674333709,0.116950088508,0.116709308812,0.119800500159,0.117882966146,0.11735091204,0.0100579419473,0.0110232736484,0.0107662426766,0.0102831044118,0.0111899040861,0.0109099163877
vehicle,0.0196044693606,0.0191022028847,0.0190216053061,0.0191624615615,0.0192837183471,0.0196653980806,0.00691124330746,0.00796030568216,0.00776175600138,0.00750561101687,0.0079934685328,0.00847930563572
vowel,0.0137411874442,0.0113627362553,0.0118650886925,0.0115316270341,0.011320617143,0.0119452965954,0.00425688083583,0.00542463037627,0.00552682858416,0.00530055202686,0.00566093981344,0.00591792575364
waveform-5000,0.0843814234495,0.0802192223759,0.0802721914599,0.0802748874881,0.080694834973,0.0848397991608,0.00688434083961,0.00463065349205,0.00467533080719,0.00463322021424,0.00445121657917,0.00582618716078
wdbc,0.0191327797105,0.0190859666333,0.0189433149982,0.0193817526131,0.0198231624725,0.0191689468424,0.00781395996835,0.00831997745842,0.00779688779142,0.00792169943346,0.00848436173589,0.00849437591842
wpbc,0.154228007896,0.154265463252,0.157488691218,0.154795137461,0.15477088848,0.154057841394,0.0293182475472,0.0174958935405,0.0203005760295,0.016199234669,0.0224168835501,0.0177376765945
yeast,0.167132708716,0.167249432186,0.167356665088,0.167259280206,0.167507685439,0.168080151775,0.00858464328489,0.00722157450489,0.00744520420852,0.00699822310267,0.00832801511219,0.00809075973164
zoo,0.00277736843385,0.000727897364613,0.000509923345588,0.001053778269,0.00147406441336,0.000396319425533,0.00362004017222,0.00196723092957,0.0019763977798,0.00275424402543,0.00271773990019,0.00170827362584
