,,mean,mean,std,std
,,acc,loss,acc,loss
credit-approval,sigmoid,0.811667752095,0.45878860509,0.0319355792901,0.0571838946319
dermatology,None,0.987153582154,0.463544254197,0.0131165138903,0.475633817961
dermatology,beta,0.987153582154,0.076183973953,0.0131165138903,0.0638883244586
dermatology,beta_ab,0.987153582154,0.0752714876138,0.0131165138903,0.0627983016424
dermatology,beta_am,0.987153582154,0.072561557448,0.0131165138903,0.0591714413411
dermatology,isotonic,0.987153582154,0.112380539998,0.0131165138903,0.151120369868
dermatology,sigmoid,0.987153582154,0.0777380281838,0.0131165138903,0.0656048233166
diabetes,None,0.753632119514,0.628130436515,0.0354539535254,0.12206572347
diabetes,beta,0.747128427128,0.503207432458,0.0343472839235,0.0320854605736
diabetes,beta_ab,0.753632119514,0.503411985758,0.0354539535254,0.0313671155927
diabetes,beta_am,0.747130973602,0.527563590795,0.0290404378619,0.0421299205725
diabetes,isotonic,0.752984466514,0.558785066561,0.0340362750188,0.142358474482
diabetes,sigmoid,0.754288260759,0.5176805976,0.0327864886459,0.0344199537277
ecoli,None,0.616883102418,3.67695603436,0.0941862746405,1.36653503645
ecoli,beta,0.951877055888,0.181639568123,0.0286608462255,0.0799494093591
ecoli,beta_ab,0.617489163024,0.562781796386,0.0944114106728,0.114821215303
ecoli,beta_am,0.951867871043,0.181360462578,0.0286797924333,0.0801601511951
ecoli,isotonic,0.950682753848,0.408302748484,0.0303728300696,0.444209311684
ecoli,sigmoid,0.80655734998,0.392501743937,0.0790848686566,0.115926588785
flare,None,0.514010689691,2.01002544194,0.0254264559767,0.824022964952
flare,beta,0.822891073909,0.427249271573,0.0113316749267,0.0275311541462
flare,beta_ab,0.518575907082,0.585347156582,0.0273473371607,0.0228479154601
flare,beta_am,0.822891073909,0.441713437163,0.0113316749267,0.0311835969228
flare,isotonic,0.82230446719,0.430700679526,0.0106910356801,0.042859251186
flare,sigmoid,0.71489245654,0.548755888323,0.00140142391103,0.0184223141752
german,None,0.7333,0.907398959331,0.0239175880976,0.239195400402
german,beta,0.7211,0.541229380949,0.0181908813218,0.025899526426
german,beta_ab,0.7334,0.568247186122,0.0242529190332,0.0486585550188
german,beta_am,0.7106,0.563660733637,0.0131568248759,0.0245247832558
german,isotonic,0.7346,0.535572718081,0.0228535711495,0.0444980680884
german,sigmoid,0.7412,0.523483716499,0.0216314208351,0.0255050173845
glass,None,0.587047434478,1.23096327878,0.057024945208,0.804986236843
glass,beta,0.642082804792,0.594088773788,0.0429168800012,0.0553716808323
glass,beta_ab,0.586357360985,0.621815423232,0.0574289981327,0.0480666426856
glass,beta_am,0.647315564281,0.595299532123,0.0396136567164,0.0505765407547
glass,isotonic,0.637457515353,0.78791353976,0.0487379720034,0.472273377725
glass,sigmoid,0.626421658445,0.598287228743,0.0454003595407,0.0469415390029
heart-statlog,None,0.842222222222,0.606324842254,0.0510575156902,0.227100897822
heart-statlog,beta,0.847037037037,0.398125066322,0.0474438281301,0.0778339936377
heart-statlog,beta_ab,0.842222222222,0.396529842287,0.0510575156902,0.076537354025
heart-statlog,beta_am,0.847777777778,0.396883442524,0.0452512434867,0.0755231321055
heart-statlog,isotonic,0.846666666667,0.518808996142,0.0471820038299,0.504489047583
heart-statlog,sigmoid,0.843703703704,0.408934292687,0.0485159508417,0.0831190288561
hepatitis,None,0.601274193548,3.89873356336,0.101475218336,2.15432589497
hepatitis,beta,0.844697580645,0.40119537582,0.0531747938942,0.161653108875
hepatitis,beta_ab,0.592369623656,0.567896570299,0.0952167413583,0.0871356891127
hepatitis,beta_am,0.840344086022,0.388380960547,0.0503771445944,0.0920693575713
hepatitis,isotonic,0.842220430108,0.517441333586,0.0483137690181,0.438126930184
hepatitis,sigmoid,0.793706989247,0.436402755316,0.0153026130344,0.0986311551865
horse,None,0.478889969436,5.09644261438,0.115822978088,2.45361078754
horse,beta,0.776632583125,0.51420663854,0.0490624804879,0.0535991074461
horse,beta_ab,0.481889969436,0.682017348311,0.117672490617,0.0579409433995
horse,beta_am,0.779971936649,0.543294776456,0.0499059541887,0.0527643397882
horse,isotonic,0.79256228582,0.712926257889,0.0412305660635,0.408872080099
horse,sigmoid,0.649048902473,0.630895698746,0.0586941486095,0.0482343824047
ionosphere,None,0.885730382294,1.16560671444,0.034090494302,0.406314698084
ionosphere,beta,0.892032193159,0.293868499341,0.0351498663922,0.0611462012967
ionosphere,beta_ab,0.885730382294,0.29530115561,0.034090494302,0.0589731211323
ionosphere,beta_am,0.896869215292,0.292639117223,0.0367455142018,0.0594221306104
ionosphere,isotonic,0.895171026157,0.387421747682,0.0363763690554,0.362618758744
ionosphere,sigmoid,0.888016096579,0.325219579996,0.032781426693,0.0704368899907
iris,None,1.0,8.92109725393e-07,0.0,4.17064143303e-06
iris,beta,1.0,3.43065852792e-05,0.0,5.43248449941e-05
iris,beta_ab,1.0,3.66822279772e-05,0.0,6.27300342908e-05
iris,beta_am,1.0,4.42712784667e-05,0.0,8.37854718792e-05
iris,isotonic,1.0,7.94625444941e-07,0.0,4.12046423139e-06
iris,sigmoid,1.0,1.35936570505e-05,0.0,1.90848422957e-07
landsat-satellite,None,0.935214897846,0.650373876232,0.00671442587655,0.0968843566659
landsat-satellite,beta,0.938136263267,0.180613936721,0.00659441411162,0.0158508540066
landsat-satellite,beta_ab,0.935214897846,0.184081119771,0.00671442587655,0.01574078478
landsat-satellite,beta_am,0.937390339273,0.182992025152,0.00640297177912,0.0159014100093
landsat-satellite,isotonic,0.937949903995,0.19065687501,0.00644244770301,0.025093015484
landsat-satellite,sigmoid,0.935913935268,0.222844858388,0.00689805365215,0.0174782647985
letter,None,0.972625957988,0.0878582083478,0.00107763250931,0.00643710961255
letter,beta,0.972005973142,0.0808269615427,0.00211188012639,0.00339358044311
letter,beta_ab,0.972625957988,0.0840895402773,0.00107763250931,0.00442647151319
letter,beta_am,0.970520230024,0.0829427596573,0.00188066124004,0.00429247271764
letter,isotonic,0.972862963341,0.0786039849253,0.00119481192411,0.00458377105127
letter,sigmoid,0.971080123592,0.0858321039799,0.00181048034134,0.00324758698376
libras-movement,None,0.948266666667,0.542463225485,0.0311913122389,0.514304781129
libras-movement,beta,0.962733333333,0.130124206057,0.0247407418723,0.0732904899089
libras-movement,beta_ab,0.948266666667,0.157888562639,0.0311913122389,0.0734574839637
libras-movement,beta_am,0.960866666667,0.137598175751,0.0197926897337,0.0647758255725
libras-movement,isotonic,0.9602,0.233730079744,0.0260072377855,0.331499667282
libras-movement,sigmoid,0.9518,0.139480158398,0.0288101928297,0.0613916305463
lung-cancer,None,0.989526315789,0.384769648072,0.02116304291,0.777462486833
lung-cancer,beta,0.989526315789,0.100339660835,0.02116304291,0.0606380571477
lung-cancer,beta_ab,0.989526315789,0.101815630328,0.02116304291,0.0611113497339
lung-cancer,beta_am,0.989526315789,0.0901440374158,0.02116304291,0.060216867655
lung-cancer,isotonic,0.977105263158,0.113651540492,0.0365735570834,0.064782805793
lung-cancer,sigmoid,0.981210526316,0.110109916413,0.032894242746,0.0631332794084
mfeat-karhunen,None,0.98395,0.132662957558,0.00606280900748,0.0830741803847
mfeat-karhunen,beta,0.98395,0.0557881006569,0.00612559867961,0.0189867179382
mfeat-karhunen,beta_ab,0.98395,0.0571417838097,0.00606280900748,0.0190509640729
mfeat-karhunen,beta_am,0.9839,0.0606679196197,0.00608527832107,0.0214790904927
