,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_ab,isotonic,sigmoid,None,beta,beta_ab,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,61.8482438027,63.321120447,61.343019734,63.3018497185,63.0027144803,1.41712436486,0.937045111188,1.41500683637,0.992708447794,1.37412403699
autos,67.4834033012,69.3592303738,67.4432319085,70.066577317,69.2536645738,7.66730897855,5.64171221668,6.95513870328,5.36434585152,5.15912442866
balance-scale,95.3615763116,95.7612178887,95.3615763116,95.7152848026,95.856974261,1.72665448955,2.07792523291,1.72665448955,2.02193231177,2.04715334808
car,78.7448245732,78.3218846619,78.7448245732,78.3279002554,78.5826387955,2.20972338887,2.24110455382,2.20972338887,2.10642876672,2.25238078044
cleveland,83.6750827976,83.4750827976,83.6750827976,82.9688291447,83.5394700955,4.5889335356,4.49294165309,4.5889335356,4.50596440218,4.47710633882
credit-approval,80.2313582092,84.3962170145,80.2313582092,84.3361945942,81.1667752095,3.61732997034,2.83117236122,3.61732997034,2.82203459711,3.19355792901
dermatology,98.7153582154,98.7153582154,98.7153582154,98.7153582154,98.7153582154,1.31165138903,1.31165138903,1.31165138903,1.31165138903,1.31165138903
diabetes,75.3632119514,74.7128427128,75.3632119514,75.2984466514,75.4288260759,3.54539535254,3.43472839235,3.54539535254,3.40362750188,3.27864886459
ecoli,61.6883102418,95.1877055888,61.7489163024,95.0682753848,80.655734998,9.41862746405,2.86608462255,9.44114106728,3.03728300696,7.90848686566
flare,51.4010689691,82.2891073909,51.8575907082,82.230446719,71.489245654,2.54264559767,1.13316749267,2.73473371607,1.06910356801,0.140142391103
german,73.33,72.11,73.34,73.46,74.12,2.39175880976,1.81908813218,2.42529190332,2.28535711495,2.16314208351
glass,58.7047434478,64.2082804792,58.6357360985,63.7457515353,62.6421658445,5.7024945208,4.29168800012,5.74289981327,4.87379720034,4.54003595407
heart-statlog,84.2222222222,84.7037037037,84.2222222222,84.6666666667,84.3703703704,5.10575156902,4.74438281301,5.10575156902,4.71820038299,4.85159508417
hepatitis,60.1274193548,84.4697580645,59.2369623656,84.2220430108,79.3706989247,10.1475218336,5.31747938942,9.52167413583,4.83137690181,1.53026130344
horse,47.8889969436,77.6632583125,48.1889969436,79.256228582,64.9048902473,11.5822978088,4.90624804879,11.7672490617,4.12305660635,5.86941486095
ionosphere,88.5730382294,89.2032193159,88.5730382294,89.5171026157,88.8016096579,3.4090494302,3.51498663922,3.4090494302,3.63763690554,3.2781426693
iris,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,93.5214897846,93.8136263267,93.5214897846,93.7949903995,93.5913935268,0.671442587655,0.659441411162,0.671442587655,0.644244770301,0.689805365215
letter,97.2625957988,97.2005973142,97.2625957988,97.2862963341,97.1080123592,0.107763250931,0.211188012639,0.107763250931,0.119481192411,0.181048034134
libras-movement,94.8266666667,96.2733333333,94.8266666667,96.02,95.18,3.11913122389,2.47407418723,3.11913122389,2.60072377855,2.88101928297
lung-cancer,98.9526315789,98.9526315789,98.9526315789,97.7105263158,98.1210526316,2.116304291,2.116304291,2.116304291,3.65735570834,3.2894242746
mfeat-karhunen,98.395,98.395,98.395,98.385,98.385,0.606280900748,0.612559867961,0.606280900748,0.631264522969,0.625173445321
mfeat-morphological,99.85,99.85,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,92.58,96.975,92.58,97.225,93.015,0.899886614173,0.798994904328,0.899886614173,0.786120025109,0.868099613394
mushroom,91.2728398584,90.1945608036,91.2728398584,92.6218965503,91.750424625,0.725802572313,0.71435147565,0.725802572313,0.515558827589,0.588907778775
optdigits,54.771542546,89.8220810425,88.4963407733,89.8220810425,89.8220810425,2.36365094746,0.021098268394,0.382490106471,0.021098268394,0.021098268394
page-blocks,89.9618675585,90.9008828504,89.9618675585,92.1360312481,91.0726962915,1.0167423433,1.02080128801,1.0167423433,0.497770325584,0.932318936114
pendigits,97.2307302231,97.1870723255,97.2307302231,97.2161781457,97.2289136956,0.23004086184,0.248918920788,0.23004086184,0.247058663385,0.245840107471
scene-classification,60.3267375698,77.8563468512,76.9548782504,76.051844719,77.8563468512,2.21482581095,0.0702327514287,0.514664845935,4.0041228183,0.0702327514287
segment,83.645021645,95.9956709957,83.645021645,96.3896103896,89.8095238095,1.50416930383,0.882481335364,1.50416930383,0.756710724945,1.54597402281
shuttle,89.4605950203,89.4883781696,89.4605950203,89.8513325225,89.5161614602,0.184822857493,0.147144230673,0.184822857493,0.171069564849,0.201829842601
sonar,67.6960538044,70.4139048699,67.6960538044,70.6930826783,68.3732814737,6.80837290118,7.29521618623,6.80837290118,7.15386728483,7.53912822138
spambase,81.6693167171,84.4511489262,81.6693167171,88.8069385715,81.8432016106,1.2415149624,1.19994822834,1.2415149624,2.21240968742,1.24615105225
