,mean,mean,mean,mean,mean,std,std,std,std,std
,brier,brier,brier,brier,brier,brier,brier,brier,brier,brier
method,None,beta,beta_am,isotonic,sigmoid,None,beta,beta_am,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,0.302705245938,0.216206241056,0.216489986808,0.21593190371,0.216946399649,0.0121711118291,0.00318702082512,0.00330918878971,0.00379941749105,0.00380628892007
autos,0.254143782464,0.185603844818,0.18749571756,0.189296661737,0.191510314067,0.0597399984882,0.0193612212731,0.0167602513092,0.0271552913793,0.0197680608303
balance-scale,0.0767271508187,0.0328158052478,0.0331625018506,0.0337710458532,0.0328890191436,0.0054945318373,0.0119187687476,0.0118383381142,0.0126168577926,0.0119694506439
car,0.134411981277,0.132121459977,0.131982075912,0.129892787794,0.134634665754,0.00644159802342,0.00938636421576,0.00950735500966,0.0086752451676,0.010927102143
cleveland,0.139834834681,0.1290859998,0.128480905284,0.13039502293,0.129908139141,0.0381511049324,0.0267538646793,0.0261094066226,0.0284767315846,0.0300149467416
credit-approval,0.168125834168,0.117981896517,0.124400949708,0.118646461446,0.143887417001,0.0313687224101,0.0174059556412,0.0173656640401,0.0196866340875,0.0218885420363
dermatology,0.0128464152518,0.0126933968598,0.0126226560095,0.012745830634,0.0127572398724,0.0131165107162,0.0125938544657,0.0125315917461,0.0126570551909,0.0126447452714
diabetes,0.17969745566,0.167508049663,0.170677491879,0.168800052077,0.171155900677,0.0221029933644,0.0136883580409,0.012404453493,0.0144357014407,0.0150248890805
ecoli,0.36099796907,0.0473864269673,0.0472229268134,0.0494408667915,0.131975525371,0.0960323519419,0.0186144215124,0.0187279700397,0.0200094827419,0.047134113031
flare,0.454100163508,0.13630694507,0.137213254563,0.13600801089,0.185861230477,0.0305030714398,0.00878828768695,0.00815349101504,0.0081536760637,0.00548276319534
german,0.19525975646,0.179316348441,0.186585235678,0.176134990841,0.173825111092,0.0186440313016,0.00724941311276,0.00654325120637,0.0114751724661,0.0100051009953
glass,0.30399683118,0.205428910812,0.204722540727,0.209074337598,0.207716788825,0.0736774102005,0.0175903404628,0.0143522788316,0.0214558018065,0.0175661878364
heart-statlog,0.131742521276,0.122249495305,0.122226275211,0.122146811263,0.123382079562,0.0398313934626,0.0279769947811,0.0269715934356,0.0303248228675,0.0320029264861
hepatitis,0.356939632284,0.117097384622,0.11703716781,0.117853584326,0.137261839126,0.107973917694,0.0283706496187,0.0242815531071,0.0331051172932,0.0217033562493
horse,0.493267178941,0.165522683074,0.171502279783,0.164052396826,0.2200063172,0.118841951071,0.0205298520973,0.0174237094824,0.0218182353469,0.0214226824251
ionosphere,0.103534155496,0.0876101057057,0.0876085842976,0.0858365597367,0.0922214861932,0.030928046202,0.0214313094658,0.0205086288111,0.0223026286536,0.025272049581
iris,4.89396312472e-10,8.19259508975e-08,1.92562215614e-07,4.76242821677e-10,1.85017794378e-10,3.32679857398e-09,4.44068464639e-07,9.8295111671e-07,3.3003232665e-09,4.05634059326e-12
landsat-satellite,0.0598804795372,0.0499758797602,0.0501969703854,0.0498498181351,0.0570374949565,0.00622781124026,0.00486631897388,0.00471738324806,0.00484267302677,0.00559939770089
letter,0.0207344002942,0.0208421983501,0.0206343223657,0.0200399078955,0.021523519357,0.000793606333016,0.000801961359332,0.000671363472464,0.000718009691096,0.000959715872393
libras-movement,0.0466424736027,0.0304197334745,0.031949079397,0.0312493857483,0.0354023765018,0.0283779367841,0.0165009826858,0.0143934178389,0.0173345872192,0.0166955546932
lung-cancer,0.0104736842105,0.0154701964263,0.0130378040029,0.0210198787699,0.0193695930385,0.02116304291,0.0183040674397,0.0185805230374,0.019995672901,0.019024879555
