,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_ab,beta_am,sigmoid,None,beta,beta_ab,beta_am,sigmoid
dataset,,,,,,,,,,
abalone,63.5173907053,63.5150211992,63.380829131,63.5318594857,63.512651899,1.14646982882,1.11044076112,1.12607490002,1.14940953664,1.18349360269
autos,73.2560044682,74.394086195,73.0677207692,74.5057241508,74.5139951997,6.44412521172,5.7246328214,6.22693712561,5.96156463368,6.18574167072
balance-scale,95.2051690333,95.2051690333,95.2051690333,95.2051690333,95.2051690333,1.52078048052,1.52078048052,1.52078048052,1.52078048052,1.52078048052
car,71.6962629386,71.5227181073,71.1811063315,71.7311130528,71.864229063,1.95302148063,1.99567390008,1.7683694263,1.88860595987,1.93720064864
cleveland,83.8101694915,83.8457821936,83.8101694915,83.8435028249,83.7762711864,4.7218328128,4.77946393679,4.7218328128,4.85647690681,4.75857909938
credit-approval,86.8572554672,86.8126176622,86.8572554672,86.8563230662,86.8567892667,2.93858123653,2.98545195973,2.93858123653,3.00651586325,2.96896027269
dermatology,99.7229300729,99.7229300729,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751,0.559843572751,0.559843572751
diabetes,77.0575502928,76.7187844835,77.0575502928,77.135896783,77.0445632799,3.13733394277,3.19618296081,3.13733394277,3.09698920027,3.12620235172
ecoli,96.3836767284,96.4104661711,96.3836767284,96.3220589948,96.3234697064,2.42665538799,2.59664416967,2.42665538799,2.45224969999,2.4461085938
flare,81.7819488791,81.7740924207,81.7819488791,81.7750224636,81.2479733023,1.31302626468,1.42191405222,1.31302626468,1.46234294357,1.57499177729
german,75.95,75.45,75.95,75.31,75.49,1.62333116819,1.61071032625,1.62333116819,1.54817206237,1.6114703642
glass,64.3339625491,63.9393301789,63.2641028222,63.5361085942,63.9757877781,5.15401750712,3.94288683195,4.90211559829,2.98782660491,4.03316213376
heart-statlog,83.8888888889,83.8148148148,83.8888888889,84.1111111111,83.8518518519,4.39901829321,4.47097773952,4.39901829321,4.56822467582,4.53670922968
