,mean,mean,mean,mean,mean,std,std,std,std,std
,acc,acc,acc,acc,acc,acc,acc,acc,acc,acc
method,None,beta,beta_ab,isotonic,sigmoid,None,beta,beta_ab,isotonic,sigmoid
dataset,,,,,,,,,,
abalone,63.5173907053,63.5150211992,63.380829131,63.3665750884,63.512651899,1.14646982882,1.11044076112,1.12607490002,1.01837275429,1.18349360269
autos,73.2560044682,74.394086195,73.0677207692,74.3728755113,74.5139951997,6.44412521172,5.7246328214,6.22693712561,6.4435071846,6.18574167072
balance-scale,95.2051690333,95.2051690333,95.2051690333,95.1734230015,95.2051690333,1.52078048052,1.52078048052,1.52078048052,1.55320619499,1.52078048052
car,71.6962629386,71.5227181073,71.1811063315,71.8406707891,71.864229063,1.95302148063,1.99567390008,1.7683694263,1.62592795107,1.93720064864
cleveland,83.8101694915,83.8457821936,83.8101694915,83.5101694915,83.7762711864,4.7218328128,4.77946393679,4.7218328128,5.2234123092,4.75857909938
credit-approval,86.8572554672,86.8126176622,86.8572554672,86.5056299934,86.8567892667,2.93858123653,2.98545195973,2.93858123653,3.02690924151,2.96896027269
dermatology,99.7229300729,99.7229300729,99.7229300729,99.7229300729,99.7229300729,0.559843572751,0.559843572751,0.559843572751,0.559843572751,0.559843572751
diabetes,77.0575502928,76.7187844835,77.0575502928,76.6802478567,77.0445632799,3.13733394277,3.19618296081,3.13733394277,3.11334560078,3.12620235172
ecoli,96.3836767284,96.4104661711,96.3836767284,96.1069805854,96.3234697064,2.42665538799,2.59664416967,2.42665538799,2.59352257431,2.4461085938
flare,81.7819488791,81.7740924207,81.7819488791,82.2016966237,81.2479733023,1.31302626468,1.42191405222,1.31302626468,1.25513820375,1.57499177729
german,75.95,75.45,75.95,75.88,75.49,1.62333116819,1.61071032625,1.62333116819,1.92077790364,1.6114703642
glass,64.3339625491,63.9393301789,63.2641028222,62.3069012383,63.9757877781,5.15401750712,3.94288683195,4.90211559829,5.31386809045,4.03316213376
heart-statlog,83.8888888889,83.8148148148,83.8888888889,83.4814814815,83.8518518519,4.39901829321,4.47097773952,4.39901829321,4.53362282261,4.53670922968
hepatitis,85.3845430108,84.9280913978,85.3200268817,84.7740591398,85.1219086022,5.14242056771,4.72253438694,5.0992584072,5.14779769721,4.72538556342
horse,81.5140872465,81.3484764286,81.5140872465,81.3084190053,81.4473835325,4.46724825819,4.45078577635,4.46724825819,4.17640232521,4.85136073195
ionosphere,88.1215291751,87.9525150905,88.1215291751,87.4957746479,87.3557344064,3.2735059527,3.42858260995,3.2735059527,3.65212658353,3.73540802629
iris,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
landsat-satellite,98.707194968,98.7009765187,98.707194968,98.6792047163,98.694752033,0.31730063365,0.318958138834,0.31730063365,0.33303377196,0.308773065877
letter,97.6974241193,97.7074238036,97.6974241193,97.7354383356,97.7328640095,0.115631499404,0.110153259266,0.115631499404,0.120462048964,0.122894442007
libras-movement,98.1666666667,98.06,98.1666666667,98.12,98.0666666667,1.25672792575,1.34971232343,1.25672792575,1.32096302396,1.3784871263
lung-cancer,25.3157894737,84.5105263158,75.3578947368,83.4631578947,84.3631578947,7.32436576639,7.41526653942,10.0269240127,7.74241891119,7.74930311679
mfeat-karhunen,99.085,99.175,99.085,99.2,99.18,0.405982054494,0.443921531952,0.405982054494,0.407205508964,0.416619044898
mfeat-morphological,99.85,99.85,99.85,99.85,99.85,0.195615199109,0.195615199109,0.195615199109,0.195615199109,0.195615199109
mfeat-zernike,99.475,99.47,99.475,99.47,99.485,0.35083719115,0.352252228741,0.35083719115,0.348612409769,0.347769862914
mushroom,96.5620578129,96.9830120377,96.5620578129,96.9571545103,96.5719039696,0.400255723106,0.411162222254,0.400255723106,0.468797917804,0.397602945906
optdigits,98.9127660319,98.9091771545,98.9127660319,98.9039355588,98.9091946036,0.26321830989,0.265455522354,0.26321830989,0.286584344102,0.270824728366
page-blocks,94.9734658082,94.9679596098,94.9734658082,94.9734190547,94.9880927429,0.485330842799,0.53662090986,0.485330842799,0.509699250792,0.480861666153
pendigits,99.3295474466,99.3249924524,99.3295474466,99.3195288089,99.3331854534,0.165238156026,0.153751768536,0.165238156026,0.165864713202,0.154626959179
scene-classification,80.2741361214,80.0834801287,80.2741361214,80.4448215092,80.8561195412,1.56562401308,0.958001304184,1.56562401308,1.1077355215,1.09452491514
segment,99.658008658,99.6796536797,99.658008658,99.6623376623,99.6623376623,0.243828992006,0.252118950039,0.243828992006,0.244103331552,0.259298148339
shuttle,96.8577329793,97.6751715955,96.8577329793,97.8141875205,96.9263047969,0.121485976297,0.0941037191744,0.121485976297,0.0938959979903,0.116532729912
sonar,76.0288739432,75.7382978149,76.0288739432,75.5024714367,75.7487507765,6.52596008447,5.59360205507,6.52596008447,5.84221484142,6.06461098474
