,,mean,mean,std,std
,,acc,loss,acc,loss
credit-approval,sigmoid,0.868567892667,0.335341543305,0.0296896027269,0.0568258223043
dermatology,None,0.997229300729,0.0120594454852,0.00559843572751,0.00597100185921
dermatology,beta,0.997229300729,0.00697199788165,0.00559843572751,0.0130421995298
dermatology,beta_ab,0.997229300729,0.00694193471788,0.00559843572751,0.0133618504979
dermatology,beta_am,0.997229300729,0.00696815177926,0.00559843572751,0.0130681155225
dermatology,isotonic,0.997229300729,0.00484025787068,0.00559843572751,0.00723149829593
dermatology,sigmoid,0.997229300729,0.0101137224931,0.00559843572751,0.0210505699695
diabetes,None,0.770575502928,0.485074913314,0.0313733394277,0.0362504201332
diabetes,beta,0.767187844835,0.484375593678,0.0319618296081,0.0350969708322
diabetes,beta_ab,0.770575502928,0.483841337049,0.0313733394277,0.0339938817853
diabetes,beta_am,0.77135896783,0.484673261897,0.0309698920027,0.0336974851433
diabetes,isotonic,0.766802478567,0.560661553671,0.0311334560078,0.140698655618
diabetes,sigmoid,0.770445632799,0.486278287458,0.0312620235172,0.0344414262165
ecoli,None,0.963836767284,0.129361379431,0.0242665538799,0.0550104465118
ecoli,beta,0.964104661711,0.123032775058,0.0259664416967,0.0785185719084
ecoli,beta_ab,0.963836767284,0.121150124722,0.0242665538799,0.0736323535457
ecoli,beta_am,0.963220589948,0.126984071294,0.0245224969999,0.0776594330189
ecoli,isotonic,0.961069805854,0.349055457803,0.0259352257431,0.457062065363
ecoli,sigmoid,0.963234697064,0.124110294819,0.024461085938,0.0763589794022
flare,None,0.817819488791,0.403693968978,0.0131302626468,0.0240906087329
flare,beta,0.817740924207,0.404566079965,0.0142191405222,0.0241255881331
flare,beta_ab,0.817819488791,0.404116295616,0.0131302626468,0.0236580995113
flare,beta_am,0.817750224636,0.404273957205,0.0146234294357,0.0242391314166
flare,isotonic,0.822016966237,0.411673704128,0.0125513820375,0.0348285698041
flare,sigmoid,0.812479733023,0.413825281517,0.0157499177729,0.0268073911762
german,None,0.7595,0.503252639287,0.0162333116819,0.0321369779994
german,beta,0.7545,0.50259024319,0.0161071032625,0.0254969078545
german,beta_ab,0.7595,0.50269721718,0.0162333116819,0.0268670927863
german,beta_am,0.7531,0.502020900463,0.0154817206237,0.024930530603
german,isotonic,0.7588,0.536417003359,0.0192077790364,0.0913541828822
german,sigmoid,0.7549,0.505093152682,0.016114703642,0.0234778196165
glass,None,0.643339625491,0.638319239867,0.0515401750712,0.05946222011
glass,beta,0.639393301789,0.627576958969,0.0394288683195,0.0315076929241
glass,beta_ab,0.632641028222,0.633247087458,0.0490211559829,0.0473815608278
glass,beta_am,0.635361085942,0.628148892196,0.0298782660491,0.0269475983009
glass,isotonic,0.623069012383,0.85636578444,0.0531386809045,0.416038293924
glass,sigmoid,0.639757877781,0.626425546442,0.0403316213376,0.0261423277698
heart-statlog,None,0.838888888889,0.388839077386,0.0439901829321,0.0823922689888
heart-statlog,beta,0.838148148148,0.39196056982,0.0447097773952,0.0660030241213
heart-statlog,beta_ab,0.838888888889,0.390555902858,0.0439901829321,0.0658903094946
heart-statlog,beta_am,0.841111111111,0.388525905531,0.0456822467582,0.0634000349665
heart-statlog,isotonic,0.834814814815,0.480317749656,0.0453362282261,0.335539150825
heart-statlog,sigmoid,0.838518518519,0.396694959779,0.0453670922968,0.0695307501292
hepatitis,None,0.853845430108,0.378589387503,0.0514242056771,0.131358825346
hepatitis,beta,0.849280913978,0.382485798384,0.0472253438694,0.107645650515
hepatitis,beta_ab,0.853200268817,0.383186504845,0.050992584072,0.110967523713
hepatitis,beta_am,0.847947580645,0.374118170664,0.0445205350796,0.0968213159994
hepatitis,isotonic,0.847740591398,0.719935574987,0.0514779769721,0.755548086726
hepatitis,sigmoid,0.851219086022,0.376388235841,0.0472538556342,0.0889292948148
horse,None,0.815140872465,0.461666102949,0.0446724825819,0.0998370171295
horse,beta,0.813484764286,0.447531726339,0.0445078577635,0.0570375042301
horse,beta_ab,0.815140872465,0.447407093778,0.0446724825819,0.0581601037441
horse,beta_am,0.811434843012,0.446096263781,0.0446962146109,0.0539601928126
horse,isotonic,0.813084190053,0.615855887004,0.0417640232521,0.370949850269
horse,sigmoid,0.814473835325,0.437614842961,0.0485136073195,0.0593031046904
ionosphere,None,0.881215291751,0.343553601051,0.032735059527,0.0790593930522
ionosphere,beta,0.879525150905,0.315515192607,0.0342858260995,0.0577814632454
ionosphere,beta_ab,0.881215291751,0.314021728372,0.032735059527,0.054768026576
